 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.81230637e-26 
 1.00000000e-12  1.00000000e-12  1.00000000e-12 -1.99452908e-06 
 2.00000000e-12  2.00000000e-12  2.00000000e-12 -3.98391669e-06 
 4.00000000e-12  4.00000000e-12  4.00000000e-12 -7.95243560e-06 
 8.00000000e-12  8.00000000e-12  8.00000000e-12 -1.58282531e-05 
 1.60000000e-11  1.60000000e-11  1.60000000e-11 -3.13381614e-05 
 3.20000000e-11  3.20000000e-11  3.20000000e-11 -6.14159026e-05 
 6.40000000e-11  6.40000000e-11  6.40000000e-11 -1.17995339e-04 
 1.28000000e-10  1.28000000e-10  1.28000000e-10 -2.18292395e-04 
 2.28000000e-10  2.28000000e-10  2.28000000e-10 -3.46659799e-04 
 3.28000000e-10  3.28000000e-10  3.28000000e-10 -4.53347284e-04 
 4.28000000e-10  4.28000000e-10  4.28000000e-10 -5.70756052e-04 
 5.28000000e-10  5.28000000e-10  5.28000000e-10 -7.19456218e-04 
 6.28000000e-10  6.28000000e-10  6.28000000e-10 -8.87103738e-04 
 7.28000000e-10  7.28000000e-10  7.28000000e-10 -1.06327103e-03 
 8.28000000e-10  8.28000000e-10  8.28000000e-10 -1.24468553e-03 
 9.28000000e-10  9.28000000e-10  9.28000000e-10 -1.42987727e-03 
 1.00000000e-09  1.00000000e-09  1.00000000e-09 -1.56474203e-03 
 1.01000000e-09  1.01000000e-09  1.01000000e-09 -1.56357354e-03 
 1.03000000e-09  1.03000000e-09  1.03000000e-09 -1.56132264e-03 
 1.07000000e-09  1.07000000e-09  1.07000000e-09 -1.55713119e-03 
 1.15000000e-09  1.15000000e-09  1.15000000e-09 -1.54975350e-03 
 1.25000000e-09  1.25000000e-09  1.25000000e-09 -1.54194750e-03 
 1.35000000e-09  1.35000000e-09  1.35000000e-09 -1.53530070e-03 
 1.45000000e-09  1.45000000e-09  1.45000000e-09 -1.52952730e-03 
 1.55000000e-09  1.55000000e-09  1.55000000e-09 -1.52442572e-03 
 1.65000000e-09  1.65000000e-09  1.65000000e-09 -1.51985498e-03 
 1.75000000e-09  1.75000000e-09  1.75000000e-09 -1.51571461e-03 
 1.85000000e-09  1.85000000e-09  1.85000000e-09 -1.51193042e-03 
 1.95000000e-09  1.95000000e-09  1.95000000e-09 -1.50844601e-03 
 2.05000000e-09  2.05000000e-09  2.05000000e-09 -1.50521743e-03 
 2.15000000e-09  2.15000000e-09  2.15000000e-09 -1.50220977e-03 
 2.25000000e-09  2.25000000e-09  2.25000000e-09 -1.49939483e-03 
 2.35000000e-09  2.35000000e-09  2.35000000e-09 -1.49674946e-03 
 2.45000000e-09  2.45000000e-09  2.45000000e-09 -1.49425448e-03 
 2.55000000e-09  2.55000000e-09  2.55000000e-09 -1.49189377e-03 
 2.65000000e-09  2.65000000e-09  2.65000000e-09 -1.48965368e-03 
 2.75000000e-09  2.75000000e-09  2.75000000e-09 -1.48752252e-03 
 2.85000000e-09  2.85000000e-09  2.85000000e-09 -1.48549025e-03 
 2.95000000e-09  2.95000000e-09  2.95000000e-09 -1.48354813e-03 
 3.05000000e-09  3.05000000e-09  3.05000000e-09 -1.48168854e-03 
 3.15000000e-09  3.15000000e-09  3.15000000e-09 -1.47990479e-03 
 3.25000000e-09  3.25000000e-09  3.25000000e-09 -1.47819097e-03 
 3.35000000e-09  3.35000000e-09  3.35000000e-09 -1.47654182e-03 
 3.45000000e-09  3.45000000e-09  3.45000000e-09 -1.47495267e-03 
 3.55000000e-09  3.55000000e-09  3.55000000e-09 -1.47341934e-03 
 3.65000000e-09  3.65000000e-09  3.65000000e-09 -1.47193804e-03 
 3.75000000e-09  3.75000000e-09  3.75000000e-09 -1.47050539e-03 
 3.85000000e-09  3.85000000e-09  3.85000000e-09 -1.46911831e-03 
 3.95000000e-09  3.95000000e-09  3.95000000e-09 -1.46777401e-03 
 4.05000000e-09  4.05000000e-09  4.05000000e-09 -1.46646994e-03 
 4.15000000e-09  4.15000000e-09  4.15000000e-09 -1.46520379e-03 
 4.25000000e-09  4.25000000e-09  4.25000000e-09 -1.46397341e-03 
 4.35000000e-09  4.35000000e-09  4.35000000e-09 -1.46277686e-03 
 4.45000000e-09  4.45000000e-09  4.45000000e-09 -1.46161235e-03 
 4.55000000e-09  4.55000000e-09  4.55000000e-09 -1.46047820e-03 
 4.65000000e-09  4.65000000e-09  4.65000000e-09 -1.45937289e-03 
 4.75000000e-09  4.75000000e-09  4.75000000e-09 -1.45829500e-03 
 4.85000000e-09  4.85000000e-09  4.85000000e-09 -1.45724320e-03 
 4.95000000e-09  4.95000000e-09  4.95000000e-09 -1.45621629e-03 
 5.05000000e-09  5.05000000e-09  5.05000000e-09 -1.45521310e-03 
 5.15000000e-09  5.15000000e-09  5.15000000e-09 -1.45423259e-03 
 5.25000000e-09  5.25000000e-09  5.25000000e-09 -1.45327375e-03 
 5.35000000e-09  5.35000000e-09  5.35000000e-09 -1.45233565e-03 
 5.45000000e-09  5.45000000e-09  5.45000000e-09 -1.45141743e-03 
 5.55000000e-09  5.55000000e-09  5.55000000e-09 -1.45051826e-03 
 5.65000000e-09  5.65000000e-09  5.65000000e-09 -1.44963739e-03 
 5.75000000e-09  5.75000000e-09  5.75000000e-09 -1.44877407e-03 
 5.85000000e-09  5.85000000e-09  5.85000000e-09 -1.44792764e-03 
 5.95000000e-09  5.95000000e-09  5.95000000e-09 -1.44709745e-03 
 6.05000000e-09  6.05000000e-09  6.05000000e-09 -1.44628290e-03 
