------------------------------------------------------------
 vsweep_high=0.6
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
               0.025,       2.06956958e-07
                0.05,       5.40825843e-07
               0.075,       1.10964302e-06
                 0.1,        2.1184859e-06
               0.125,       3.97177512e-06
                0.15,       7.50109937e-06
               0.175,       1.44893378e-05
                 0.2,       2.89087484e-05
               0.225,       5.99047441e-05
                0.25,       0.000129094384
               0.275,       0.000288589735
                 0.3,       0.000665707037
               0.325,         0.0015737251
                0.35,        0.00378350513
               0.375,        0.00917233889
                 0.4,         0.0221869073
               0.425,         0.0527814716
                0.45,          0.121247803
               0.475,          0.264389384
                 0.5,          0.542847147
               0.525,           1.05248045
                0.55,           1.94460734
               0.575,           3.46000817
                 0.6,           5.98350213

------------------------------------------------------------
 vsweep_high=0
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11

------------------------------------------------------------
 vsweep_high=1.2
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
                0.05,       5.40825843e-07
                 0.1,        2.1184859e-06
                0.15,       7.50109937e-06
                 0.2,       2.89087484e-05
                0.25,       0.000129094384
                 0.3,       0.000665707037
                0.35,        0.00378350513
                 0.4,         0.0221869073
                0.45,          0.121247803
                 0.5,          0.542847147
                0.55,           1.94460734
                 0.6,           5.98350213
                0.65,           16.8769794
                 0.7,            45.173706
                0.75,           115.251023
                 0.8,            270.08892
                0.85,           529.237085
                 0.9,           800.229223
                0.95,           985.380222
                   1,           1096.96264
                1.05,           1167.04294
                 1.1,           1211.90414
                1.15,           1240.04625
                 1.2,           1256.83604

------------------------------------------------------------
 vsweep_high=0.176
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
       0.00732233333,       5.15760957e-08
        0.0146446667,       1.09947338e-07
            0.021967,       1.76583094e-07
        0.0292893333,       2.53053524e-07
        0.0366116667,       3.41231151e-07
            0.043934,       4.43503044e-07
        0.0512563333,       5.62622296e-07
        0.0585786667,       7.01904293e-07
            0.065901,       8.65393812e-07
        0.0732233333,       1.05791277e-06
        0.0805456667,       1.28537849e-06
            0.087868,       1.55492839e-06
        0.0951903333,       1.87530456e-06
         0.102512667,       2.25723836e-06
            0.109835,        2.7138589e-06
         0.117157333,       3.26147811e-06
         0.124479667,       3.92014253e-06
            0.131802,       4.71489043e-06
         0.139124333,       5.67698793e-06
         0.146446667,       6.84547268e-06
            0.153769,        8.2694535e-06
         0.161091333,       1.00108053e-05
         0.168413667,       1.21477815e-05
            0.175736,       1.47795898e-05

------------------------------------------------------------
 vsweep_high=1.02
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -2.65226658e-11
                   0,      -2.65226658e-11
           0.0426775,       4.24841601e-07
            0.085355,       1.45716483e-06
           0.1280325,       4.28698417e-06
             0.17071,       1.29145429e-05
           0.2133875,       4.24966748e-05
            0.256065,        0.00015641319
           0.2987425,       0.000637886269
             0.34142,        0.00279602323
           0.3840975,         0.0126612523
            0.426775,          0.056069423
           0.4694525,          0.223526685
             0.51213,          0.753507837
           0.5548075,           2.17816556
            0.597485,           5.66875117
           0.6401625,           13.8286466
             0.68284,           32.3809154
           0.7255175,           73.3755965
            0.768195,           159.270139
           0.8108725,           318.720892
             0.85355,           549.805615
           0.8962275,           782.339251
            0.938905,           952.043265
           0.9815825,           1062.00332
             1.02426,           1134.86002

