------------------------------------------------------------
 vsweep_high=0.6
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
         0.012244898,       2.25317386e-10
        0.0244897959,       5.11501972e-10
        0.0367346939,       8.81660944e-10
        0.0489795918,       1.36573658e-09
        0.0612244898,       2.00820989e-09
        0.0734693878,       2.86164706e-09
        0.0857142857,       4.00248261e-09
        0.0979591837,       5.53178058e-09
         0.110204082,       7.58445394e-09
          0.12244898,       1.03419833e-08
         0.134693878,       1.40528741e-08
         0.146938776,       1.90494551e-08
         0.159183673,       2.57808166e-08
         0.171428571,       3.48573852e-08
         0.183673469,       4.71010824e-08
         0.195918367,        6.3632894e-08
         0.208163265,       8.59747439e-08
         0.220408163,       1.16208637e-07
         0.232653061,       1.57181547e-07
         0.244897959,        2.1281473e-07
         0.257142857,       2.88524636e-07
         0.269387755,       3.91843259e-07
         0.281632653,       5.33316987e-07
         0.293877551,       7.27843603e-07
         0.306122449,       9.96681711e-07
         0.318367347,       1.37052234e-06
         0.330612245,         1.894271e-06
         0.342857143,       2.63458466e-06
         0.355102041,       3.69196755e-06
         0.367346939,       5.22042597e-06
         0.379591837,       7.45983977e-06
         0.391836735,       1.07898705e-05
         0.404081633,       1.58206057e-05
         0.416326531,       2.35462189e-05
         0.428571429,       3.56072301e-05
         0.440816327,       5.47406313e-05
         0.453061224,       8.55559592e-05
         0.465306122,       0.000135878235
          0.47755102,       0.000219078574
         0.489795918,       0.000358128047
         0.502040816,       0.000592661193
         0.514285714,        0.00099129918
         0.526530612,        0.00167316667
          0.53877551,        0.00284547444
         0.551020408,        0.00486914924
         0.563265306,        0.00837332739
         0.575510204,         0.0144546585
         0.587755102,           0.02502283
                 0.6,         0.0433952926

------------------------------------------------------------
 vsweep_high=0
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13

------------------------------------------------------------
 vsweep_high=1.2
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
        0.0244897959,       5.11501972e-10
        0.0489795918,       1.36573658e-09
        0.0734693878,       2.86164706e-09
        0.0979591837,       5.53178058e-09
          0.12244898,       1.03419833e-08
         0.146938776,       1.90494551e-08
         0.171428571,       3.48573852e-08
         0.195918367,        6.3632894e-08
         0.220408163,       1.16208637e-07
         0.244897959,        2.1281473e-07
         0.269387755,       3.91843259e-07
         0.293877551,       7.27843603e-07
         0.318367347,       1.37052234e-06
         0.342857143,       2.63458453e-06
         0.367346939,       5.22042597e-06
         0.391836735,       1.07898706e-05
         0.416326531,       2.35462189e-05
         0.440816327,       5.47406313e-05
         0.465306122,       0.000135878235
         0.489795918,       0.000358128048
         0.514285714,        0.00099129918
          0.53877551,        0.00284547444
         0.563265306,        0.00837332739
         0.587755102,           0.02502283
         0.612244898,         0.0753083194
         0.636734694,          0.225919344
          0.66122449,          0.663657466
         0.685714286,           1.85327129
         0.710204082,           4.76102232
         0.734693878,            11.037212
         0.759183673,           22.9814278
         0.783673469,           43.1273223
         0.808163265,           73.6607466
         0.832653061,           116.105359
         0.857142857,           171.310077
         0.881632653,           239.514615
         0.906122449,           320.382082
         0.930612245,           413.007672
         0.955102041,           515.940299
         0.979591837,           627.244912
          1.00408163,           744.618109
          1.02857143,           865.553544
          1.05306122,           987.536627
          1.07755102,           1108.23366
          1.10204082,           1225.63655
          1.12653061,           1338.13633
          1.15102041,            1444.5243
           1.1755102,           1543.94426
                 1.2,           1635.82951

------------------------------------------------------------
 vsweep_high=0.176
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
       0.00358644898,       6.16079715e-11
       0.00717289796,       1.26197239e-10
        0.0107593469,       1.95009924e-10
        0.0143457959,       2.70530216e-10
        0.0179322449,       3.50025683e-10
        0.0215186939,       4.36228956e-10
        0.0251051429,        5.2864334e-10
        0.0286915918,       6.27765808e-10
        0.0322780408,       7.35335417e-10
        0.0358644898,       8.51600788e-10
        0.0394509388,       9.78549459e-10
        0.0430373878,       1.11419443e-09
        0.0466238367,       1.26238643e-09
        0.0502102857,       1.42387109e-09
        0.0537967347,       1.59827629e-09
        0.0573831837,       1.78758987e-09
        0.0609696327,       1.99330299e-09
        0.0645560816,       2.21591327e-09
        0.0681425306,       2.46038986e-09
        0.0717289796,         2.724995e-09
        0.0753154286,       3.01345617e-09
        0.0789018776,       3.32776222e-09
        0.0824883265,        3.6687844e-09
        0.0860747755,       4.04223835e-09
        0.0896612245,       4.44800242e-09
        0.0932476735,        4.8901784e-09
        0.0968341224,       5.37150239e-09
         0.100420571,       5.89769206e-09
          0.10400702,       6.47024285e-09
         0.107593469,       7.09462569e-09
         0.111179918,       7.77469789e-09
         0.114766367,       8.51742316e-09
         0.118352816,       9.32703417e-09
         0.121939265,       1.02107463e-08
         0.125525714,       1.11741622e-08
         0.129112163,       1.22246261e-08
         0.132698612,       1.33701059e-08
         0.136285061,       1.46211814e-08
          0.13987151,       1.59852068e-08
         0.143457959,       1.74743854e-08
         0.147044408,       1.90989386e-08
         0.150630857,       2.08723239e-08
         0.154217306,       2.28063919e-08
         0.157803755,       2.49180949e-08
         0.161390204,       2.72227812e-08
         0.164976653,       2.97387934e-08
         0.168563102,       3.24832468e-08
         0.172149551,       3.54810998e-08
            0.175736,       3.87527365e-08

------------------------------------------------------------
 vsweep_high=1.02
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
        0.0209032653,        4.2107503e-10
        0.0418065306,       1.06674338e-09
        0.0627097959,       2.09864506e-09
        0.0836130612,       3.78283234e-09
         0.104516327,       6.55523246e-09
         0.125419592,       1.11438377e-08
         0.146322857,       1.87608888e-08
         0.167226122,       3.14319258e-08
         0.188129388,       5.25508273e-08
         0.209032653,       8.78335228e-08
         0.229935918,       1.46982415e-07
         0.250839184,       2.46634309e-07
         0.271742449,       4.15696219e-07
         0.292645714,       7.05327338e-07
          0.31354898,        1.2084044e-06
         0.334452245,       2.09920264e-06
          0.35535551,       3.71817943e-06
         0.376258776,       6.76144463e-06
         0.397162041,       1.27214302e-05
         0.418065306,       2.49458084e-05
         0.438968571,        5.1246528e-05
         0.459871837,       0.000110446961
         0.480775102,       0.000249025088
         0.501678367,       0.000583795821
         0.522581633,        0.00141200062
         0.543484898,        0.00349618484
         0.564388163,        0.00880194499
         0.585291429,         0.0224030822
         0.606194694,         0.0573524771
         0.627097959,          0.146812683
         0.648001224,          0.372431443
          0.66890449,          0.922349105
         0.689807755,           2.18412679
          0.71071102,           4.84982983
         0.731614286,           9.98857599
         0.752517551,            19.022306
         0.773420816,           33.5414559
         0.794324082,            55.024055
         0.815227347,           84.6320062
         0.836130612,           123.155234
         0.857033878,           171.035583
         0.877937143,           228.396536
         0.898840408,           295.056116
         0.919743673,            370.53001
         0.940646939,           454.037939
         0.961550204,           544.523542
         0.982453469,           640.693868
          1.00335673,            741.08013
             1.02426,           844.116733

