------------------------------------------------------------
 vsweep_high=0.6
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       1.14768795e-13
                   0,       1.14768795e-13
         0.012244898,       6.97439735e-05
        0.0244897959,       0.000163476439
        0.0367346939,       0.000290611352
        0.0489795918,       0.000464348145
        0.0612244898,       0.000703222052
        0.0734693878,        0.00103329658
        0.0857142857,        0.00149126472
        0.0979591837,        0.00212883513
         0.110204082,        0.00301893419
          0.12244898,        0.00426447043
         0.134693878,        0.00601070804
         0.146938776,        0.00846270978
         0.159183673,         0.0119098725
         0.171428571,         0.0167603324
         0.183673469,         0.0235889985
         0.195918367,         0.0332042031
         0.208163265,          0.046739401
         0.220408163,         0.0657778549
         0.232653061,         0.0925194698
         0.244897959,            0.1299992
         0.257142857,          0.182364736
         0.269387755,          0.255216216
         0.281632653,          0.356001681
         0.293877551,          0.494449527
         0.306122449,          0.683006483
         0.318367347,          0.937241528
         0.330612245,           1.27617558
         0.342857143,           1.72250079
         0.355102041,           2.30265408
         0.367346939,           3.04670407
         0.379591837,            3.9880054
         0.391836735,           5.16258494
         0.404081633,           6.60825896
         0.416326531,            8.3635333
         0.428571429,           10.4663921
         0.440816327,           12.9531127
         0.453061224,           15.8572398
         0.465306122,           19.2088158
          0.47755102,            23.033907
         0.489795918,            27.354412
         0.502040816,              32.1881
         0.514285714,           37.5488092
         0.526530612,           43.4467392
          0.53877551,           49.8887807
         0.551020408,           56.8788453
         0.563265306,           64.4181714
         0.575510204,           72.5055953
         0.587755102,           81.1377844
                 0.6,           90.3094345

------------------------------------------------------------
 vsweep_high=0
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768834e-13
                   0,       1.14768795e-13
                   0,       1.14768834e-13
                   0,       1.14768834e-13
                   0,       1.14768834e-13
                   0,       1.14768834e-13
                   0,       1.14768834e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768834e-13
                   0,       1.14768834e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768834e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768834e-13
                   0,       1.14768834e-13
                   0,       1.14768834e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768795e-13
                   0,       1.14768834e-13
                   0,       1.14768795e-13
