------------------------------------------------------------
 vsweep_high=0.6
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
         0.012244898,        2.4386285e-07
        0.0244897959,       5.42906695e-07
        0.0367346939,       9.15113304e-07
        0.0489795918,       1.38438625e-06
        0.0612244898,        1.9826922e-06
        0.0734693878,        2.7531097e-06
        0.0857142857,       3.75419285e-06
        0.0979591837,       5.06629805e-06
         0.110204082,       6.80079225e-06
          0.12244898,       9.11356535e-06
         0.134693878,       1.22249859e-05
         0.146938776,       1.64495416e-05
         0.159183673,       2.22400992e-05
         0.171428571,       3.02543082e-05
         0.183673469,        4.1454638e-05
         0.195918367,       5.72596039e-05
         0.208163265,        7.9773087e-05
         0.220408163,        0.00011213296
         0.232653061,       0.000159042243
         0.244897959,       0.000227579823
         0.257142857,       0.000328439718
         0.269387755,        0.00047782771
         0.281632653,       0.000700366761
         0.293877551,        0.00103355087
         0.306122449,         0.0015345755
         0.318367347,        0.00229081453
         0.330612245,        0.00343588722
         0.342857143,        0.00517428352
         0.355102041,        0.00781906155
         0.367346939,         0.0118494422
         0.379591837,         0.0179985247
         0.391836735,         0.0273862252
         0.404081633,         0.0417192615
         0.416326531,         0.0635886611
         0.428571429,         0.0969050642
         0.440816327,          0.147520316
         0.453061224,           0.22408444
         0.465306122,          0.339170183
          0.47755102,          0.510653018
         0.489795918,          0.763263935
         0.502040816,           1.13016071
         0.514285714,           1.65433003
         0.526530612,           2.38964502
          0.53877551,           3.40140748
         0.551020408,           4.76615364
         0.563265306,           6.57045198
         0.575510204,           8.90849681
         0.587755102,            11.878562
                 0.6,           15.5787371

------------------------------------------------------------
 vsweep_high=0
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13

------------------------------------------------------------
 vsweep_high=1.2
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -3.62665536e-13
                   0,      -3.62665536e-13
        0.0244897959,       5.42906695e-07
