------------------------------------------------------------
 vsweep_high=0.6
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       5.84444684e-14
                   0,       5.84444684e-14
         0.012244898,        1.0195454e-05
        0.0244897959,       2.34850675e-05
        0.0367346939,       4.10663556e-05
        0.0489795918,       6.46235424e-05
        0.0612244898,       9.65345489e-05
        0.0734693878,       0.000140169027
        0.0857142857,       0.000200318102
        0.0979591837,       0.000283814734
         0.110204082,       0.000400430125
          0.12244898,       0.000564170006
         0.134693878,       0.000795150291
         0.146938776,        0.00112231217
         0.159183673,        0.00158735321
         0.171428571,        0.00225041907
         0.183673469,        0.00319834239
         0.195918367,        0.00455656178
         0.208163265,         0.0065063475
         0.220408163,        0.00930965692
         0.232653061,         0.0133449139
         0.244897959,         0.0191583336
         0.257142857,         0.0275371756
         0.269387755,         0.0396135461
         0.281632653,         0.0570099895
         0.293877551,         0.0820407836
         0.306122449,          0.117984726
         0.318367347,          0.169444753
         0.330612245,          0.242804681
         0.342857143,          0.346781364
         0.355102041,            0.4930512
         0.367346939,          0.696907037
         0.379591837,          0.977884006
         0.391836735,            1.3602882
         0.404081633,           1.87356799
         0.416326531,           2.55246968
         0.428571429,            3.4369086
         0.440816327,           4.57147589
         0.453061224,           6.00451875
         0.465306122,           7.78679496
          0.47755102,           9.96979893
         0.489795918,           12.6039484
         0.502040816,           15.7368655
         0.514285714,           19.4119633
         0.526530612,           23.6674675
          0.53877551,           28.5359013
         0.551020408,           34.0439767
         0.563265306,           40.2127858
         0.575510204,           47.0581756
         0.587755102,           54.5912068
                 0.6,           62.8186254

------------------------------------------------------------
 vsweep_high=0
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444734e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444734e-14
                   0,       5.84444684e-14
                   0,       5.84444734e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14
                   0,       5.84444684e-14

------------------------------------------------------------
 vsweep_high=1.2
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       5.84444684e-14
                   0,       5.84444684e-14
        0.0244897959,       2.34850674e-05
        0.0489795918,       6.46235424e-05
        0.0734693878,       0.000140169027
        0.0979591837,       0.000283814734
          0.12244898,       0.000564170006
         0.146938776,        0.00112231217
         0.171428571,        0.00225041907
         0.195918367,        0.00455656178
         0.220408163,        0.00930965692
         0.244897959,         0.0191583336
         0.269387755,         0.0396135461
         0.293877551,         0.0820407836
         0.318367347,          0.169444753
         0.342857143,          0.346781364
         0.367346939,          0.696907037
         0.391836735,            1.3602882
         0.416326531,           2.55246968
         0.440816327,           4.57147589
         0.465306122,           7.78679496
         0.489795918,           12.6039484
         0.514285714,           19.4119633
          0.53877551,           28.5359013
         0.563265306,           40.2127858
         0.587755102,           54.5912068
         0.612244898,           71.7433033
         0.636734694,           91.6788222
          0.66122449,           114.356583
         0.685714286,           139.692708
         0.710204082,           167.566515
         0.734693878,           197.825185
         0.759183673,           230.288046
         0.783673469,           264.751028
         0.808163265,           300.991572
         0.832653061,           338.774079
         0.857142857,           377.855801
         0.881632653,           417.992955
         0.906122449,           458.946717
         0.930612245,           500.488693
         0.955102041,           542.405498
         0.979591837,           584.502091
          1.00408163,           626.603714
          1.02857143,           668.556412
          1.05306122,           710.226291
          1.07755102,           751.497834
          1.10204082,           792.271627
          1.12653061,           832.461878
          1.15102041,           871.994038
           1.1755102,           910.802754
                 1.2,           948.830258

------------------------------------------------------------
 vsweep_high=0.176
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       5.84444684e-14
                   0,       5.84444684e-14
       0.00358644898,       2.72149076e-06
       0.00717289796,       5.65236482e-06
        0.0107593469,       8.81338849e-06
        0.0143457959,        1.2227475e-05
        0.0179322449,       1.59199075e-05
        0.0215186939,       1.99185981e-05
        0.0251051429,       2.42543661e-05
        0.0286915918,       2.89612596e-05
        0.0322780408,       3.40769001e-05
        0.0358644898,        3.9642874e-05
        0.0394509388,       4.57051681e-05
        0.0430373878,       5.23146473e-05
        0.0466238367,       5.95275952e-05
        0.0502102857,       6.74063079e-05
        0.0537967347,       7.60197594e-05
        0.0573831837,       8.54443402e-05
        0.0609696327,       9.57646806e-05
        0.0645560816,       0.000107074567
        0.0681425306,        0.00011947796
        0.0717289796,       0.000133090131
        0.0753154286,       0.000148038931
        0.0789018776,        0.00016446619
        0.0824883265,       0.000182529293
        0.0860747755,       0.000202402924
        0.0896612245,       0.000224281014
        0.0932476735,       0.000248378908
        0.0968341224,       0.000274935777
         0.100420571,       0.000304217318
          0.10400702,       0.000336518743
         0.107593469,       0.000372168126
         0.111179918,       0.000411530123
         0.114766367,       0.000455010122
         0.118352816,       0.000503058866
         0.121939265,       0.000556177606
         0.125525714,       0.000614923841
         0.129112163,       0.000679917718
         0.132698612,       0.000751849167
         0.136285061,       0.000831485844
          0.13987151,       0.000919681996
         0.143457959,        0.00101738833
         0.147044408,        0.00112566302
         0.150630857,        0.00124568396
         0.154217306,        0.00137876246
         0.157803755,        0.00152635845
         0.161390204,        0.00169009746
         0.164976653,        0.00187178954
         0.168563102,        0.00207345036
         0.172149551,        0.00229732465
            0.175736,        0.00254591242

------------------------------------------------------------
 vsweep_high=1.02
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,       5.84444684e-14
                   0,       5.84444684e-14
        0.0209032653,       1.92093654e-05
        0.0418065306,       4.99812415e-05
        0.0627097959,       0.000101122533
        0.0836130612,       0.000188558195
         0.104516327,       0.000341369252
         0.125419592,       0.000613099068
         0.146322857,        0.00110297529
         0.167226122,        0.00199580236
         0.188129388,        0.00363698769
         0.209032653,        0.00667353965
         0.229935918,         0.0123183625
         0.250839184,         0.0228428877
         0.271742449,         0.0424853848
         0.292645714,          0.079092489
          0.31354898,          0.146981423
         0.334452245,           0.27163112
          0.35535551,          0.496627617
         0.376258776,          0.892467274
         0.397162041,           1.56551122
         0.418065306,           2.66455215
         0.438968571,            4.3823711
         0.459871837,           6.94941704
         0.480775102,           10.6176082
         0.501678367,           15.6365465
         0.522581633,           22.2295553
         0.543484898,           30.5773383
         0.564388163,           40.8121307
         0.585291429,           53.0199187
         0.606194694,           67.2464357
         0.627097959,           83.5036595
